country,total_earnings,total_players,year,iso,code,pbicap,internet,desempleo,elect_acc,movil,poblacion,pea,net_mig,life_exp,CPI,gdp_gr,inflacion
Viet Nam,327.77,1,2003-01-01,VN,0,485.45090806895,3.780280814,2.25,90.270866394043,3.365415447,81475825.0,52774119.0,-153880.0,72.98,,5.80546073533708,7.10960246291481
Croatia,240.62,1,2003-01-01,HR,191,8192.32263343511,22.75,13.92,99.9737243652344,56.87562232,4303399.0,2877977.0,-8641.0,74.6139024390244,,5.56957359975728,4.30037855258496
Portugal,210.0,1,2003-01-01,PT,620,15797.7821340276,29.67,6.13,100.0,95.50631584,10458821.0,7005659.0,28311.0,77.219512195122,,-1.30174208592079,3.42715372962287
Ireland,100.02,1,2003-01-01,IE,372,41203.5295847568,34.31,4.48,100.0,88.41275114,3996521.0,2718146.0,32763.0,78.1390243902439,,1.34938713004821,3.91173008473453
Mexico,100.0,1,2003-01-01,MX,484,7473.93237537911,12.9,3.46,97.3593902587891,29.3838657,102429341.0,63130829.0,-332396.0,74.274,,-0.308351814824903,4.27966725347318
Estonia,50.0,1,2003-01-01,EE,233,7203.52303786646,45.32,11.29,99.9970855712891,76.62301373,1370720.0,930328.0,-3780.0,71.3170731707317,,8.27771228482102,3.88861391039359
"Korea, Republic of",817295.51,226,2004-01-01,KR,0,16496.1316167114,72.7,3.42,100.0,76.65647019,48082519.0,34429975.0,-33556.0,77.6658536585366,,4.78128615324052,3.12788028772735
United States,460310.17,243,2004-01-01,US,840,41724.6316287624,64.75825648,5.53,100.0,62.87475074,292805298.0,195827384.0,1200409.0,77.4878048780488,,2.89584777850045,2.68440804151825
Sweden,326150.93,117,2004-01-01,SE,752,42821.6731423358,83.89,6.69,100.0,97.56490871,8993531.0,5858520.0,36044.0,80.4975609756098,,3.92730625670833,0.333021897741204
Germany,286697.24,97,2004-01-01,DE,276,34106.6581224001,64.73,10.73,100.0,87.76291359,82516260.0,55245312.0,73107.0,78.6804878048781,,1.1970553521185,1.11559586662639
China,192627.92,104,2004-01-01,CN,156,1508.66791563578,7.3,4.49,97.6828308105469,25.81891467,1296075000.0,922710365.0,-458505.0,73.748,,9.46155877125059,6.95199268014868
Russian Federation,158388.34,151,2004-01-01,RU,643,4102.36474609375,12.8593889,7.76,97.9776229858398,51.16733273,144067316.0,102187213.0,239753.0,65.4709756097561,,7.63249118230908,20.2551495775111
Netherlands,124638.74,10,2004-01-01,NL,528,40436.6182310407,68.52,4.65,100.0,91.38038468,16281779.0,10999794.0,12819.0,79.0951219512195,,1.63118807022559,1.20404059769723
Denmark,110968.64,26,2004-01-01,DK,208,46511.5983324305,80.93,5.2,100.0,95.40817928,5404523.0,3583778.0,11366.0,77.4926829268293,,2.40323399664311,2.09573309263418
Brazil,66518.45,61,2004-01-01,BR,076,3623.22446166485,19.07367227,10.07,96.765107,35.51552318,184722043.0,122599349.0,-5390.0,71.131,,4.56178195748839,7.75206076321267
France,63487.9,41,2004-01-01,FR,250,33797.1624418436,39.15,8.91,100.0,74.1060681,62716306.0,40808634.0,154947.0,80.1634146341463,,2.07662490819244,1.62267544006134
Finland,55440.4,42,2004-01-01,FI,246,37772.1781110398,72.39,10.36,100.0,95.40676122,5228172.0,3488772.0,6872.0,78.7146341463415,,3.6905877973641,0.602661249044417
Norway,48992.54,49,2004-01-01,NO,578,57768.6980958462,77.69,4.26,100.0,98.52955299,4591910.0,3006006.0,13425.0,79.8414634146342,,3.40174615416824,5.85020582146653
Canada,36791.62,22,2004-01-01,CA,124,32143.6814078562,65.95596346,7.19,100.0,47.06742374,31940655.0,22077714.0,193282.0,79.9921951219512,,2.13496397513393,3.26087389828982
Austria,33292.85,17,2004-01-01,AT,040,36889.2335135194,54.28,5.97,100.0,97.80672818,8171966.0,5561678.0,54907.0,79.1804878048781,,2.09971116889712,1.73971884960345
Singapore,16863.25,9,2004-01-01,SG,702,27608.080013423,62.0,5.84,100.0,93.4502185,4166664.0,3126556.0,15629.0,79.490243902439,,8.5722052915981,3.95952821977868
Bulgaria,16264.26,14,2004-01-01,BG,100,3389.68743360274,18.13,12.04,90.1199417114258,60.13402386,7716860.0,5283071.0,-4156.0,72.5634146341463,,7.31740481386147,5.58155742621396
Poland,16019.78,16,2004-01-01,PL,616,6681.30975087388,32.53,19.07,99.8525772094727,59.84050126,38182222.0,26785845.0,-17064.0,74.8463414634146,,5.04429087883767,4.91662799719515
United Kingdom,14988.84,16,2004-01-01,GB,826,40366.8886650968,65.61,4.59,100.0,99.4867395,59987905.0,39543896.0,247447.0,78.7463414634146,,1.84540266498504,2.62009638067519
